iso3,country,n,wtp,norm,government
AFG,Afghanistan,1000,82.05,89.75,88.48
ALB,Albania,1000,71.28,86.89,92.76
ARE,United Arab Emirates,1002,81.72,92.33,
ARG,Argentina,1000,62.15,91.62,92.98
ARM,Armenia,1002,75.41,82.72,83.87
AUS,Australia,1000,56.09,85.26,83.32
AUT,Austria,1000,72.75,87.0,84.48
BEL,Belgium,1010,61.43,90.69,89.82
BEN,Benin,1000,84.32,87.22,93.04
BFA,Burkina Faso,1000,84.39,87.15,90.05
BGD,Bangladesh,1000,82.62,87.25,94.02
BGR,Bulgaria,1005,70.39,88.39,91.29
BIH,Bosnia Herzegovina,1000,81.66,85.83,90.89
BOL,Bolivia,1004,84.64,96.31,97.86
BRA,Brazil,1005,67.28,92.49,94.99
BWA,Botswana,1000,71.22,85.15,91.48
CAN,Canada,1008,48.7,86.87,82.45
CHE,Switzerland,1000,67.84,91.47,83.78
CHL,Chile,1001,64.92,97.29,98.24
CHN,China,3500,80.87,95.87,97.11
CIV,Ivory Coast,1000,83.38,86.35,90.94
CMR,Cameroon,1000,82.14,81.24,89.55
COG,Congo Brazzaville,1000,76.67,77.49,84.25
COL,Colombia,1000,77.42,95.07,96.76
CRI,Costa Rica,1001,80.75,95.12,94.61
CYP,Cyprus,1019,76.38,93.84,96.09
CZE,Czech Republic,1008,54.9,87.22,87.55
DEU,Germany,1000,67.91,90.37,85.9
DNK,Denmark,1010,71.99,91.04,72.72
DOM,Dominican Republic,1001,82.69,87.48,92.6
DZA,Algeria,1005,54.58,80.06,90.45
ECU,Ecuador,1000,77.57,94.76,95.95
EGY,Egypt,1002,30.49,63.29,83.96
ESP,Spain,1000,65.07,86.47,88.38
EST,Estonia,1024,53.66,78.91,70.14
FIN,Finland,1005,54.61,87.31,61.86
FRA,France,1000,51.13,87.83,85.14
GAB,Gabon,1000,81.08,88.02,89.38
GBR,United Kingdom,1000,47.59,86.54,83.39
GEO,Georgia,1001,82.52,90.97,95.57
GHA,Ghana,1000,71.84,84.19,89.45
GIN,Guinea,1000,83.61,88.25,93.84
GRC,Greece,1006,77.8,87.9,92.62
GTM,Guatemala,1000,71.97,89.84,90.33
HKG,Hong Kong,1007,65.42,92.89,94.63
HND,Honduras,1005,58.79,88.66,89.49
HRV,Croatia,1002,69.97,85.46,83.07
HUN,Hungary,1000,73.16,90.62,88.32
IDN,Indonesia,1063,80.03,84.12,86.5
IND,India,3000,63.96,77.08,79.98
IRL,Ireland,1000,64.97,89.23,87.67
IRN,Iran,1011,75.82,91.31,95.18
IRQ,Iraq,1002,65.41,69.07,72.83
ISL,Iceland,500,71.78,91.54,80.93
ISR,Israel,1001,37.33,75.7,89.5
ITA,Italy,1000,63.69,92.03,92.8
JAM,Jamaica,505,69.87,83.53,93.35
JOR,Jordan,1000,62.3,77.06,85.9
JPN,Japan,1007,48.8,87.66,85.73
KAZ,Kazakhstan,1000,45.02,70.85,78.66
KEN,Kenya,1000,78.97,82.37,92.73
KGZ,Kyrgyzstan,1001,73.0,85.37,86.54
KHM,Cambodia,1000,87.45,96.01,96.15
KOR,South Korea,1001,70.89,91.89,93.61
LAO,Laos,1000,85.25,82.52,87.12
LBN,Lebanon,1000,59.41,67.07,74.19
LKA,Sri Lanka,1005,79.94,87.16,94.56
LTU,Lithuania,1009,40.58,85.5,88.69
LVA,Latvia,1017,54.5,77.07,76.66
MAR,Morocco,1001,82.99,86.14,92.9
MDA,Moldova,1000,65.14,79.11,91.29
MDG,Madagascar,1000,70.54,76.68,83.24
MEX,Mexico,1000,75.41,95.82,96.27
MKD,North Macedonia,1024,76.47,89.21,93.75
MLI,Mali,1000,85.87,94.41,96.62
MLT,Malta,1001,68.5,91.88,92.9
MMR,Myanmar,1000,92.8,95.37,
MNG,Mongolia,1000,89.55,91.83,92.66
MOZ,Mozambique,1000,75.83,65.18,68.55
MUS,Mauritius,1000,85.1,94.73,97.05
MWI,Malawi,1000,71.32,63.67,75.58
MYS,Malaysia,1000,66.93,91.74,96.2
NAM,Namibia,1001,62.52,86.5,90.02
NGA,Nigeria,1000,67.34,79.42,89.24
NIC,Nicaragua,1010,81.17,93.17,95.68
NLD,Netherlands,1000,65.56,86.07,81.81
NOR,Norway,1007,67.06,90.77,76.52
NPL,Nepal,1000,83.0,87.18,91.04
NZL,New Zealand,1000,46.4,83.97,73.67
PAK,Pakistan,1000,47.43,77.3,80.69
PAN,Panama,1003,71.97,89.76,92.95
PER,Peru,1000,77.21,92.87,96.16
PHL,Philippines,1000,80.62,89.89,94.07
POL,Poland,1001,64.23,46.87,86.2
PRT,Portugal,1002,57.98,96.89,95.55
PRY,Paraguay,1001,85.79,95.02,96.08
ROU,Romania,1009,69.41,89.05,93.96
RUS,Russia,2001,41.03,71.41,78.63
SAU,Saudi Arabia,1008,77.24,87.87,
SEN,Senegal,1000,78.66,90.55,91.5
SGP,Singapore,1000,53.08,91.43,93.03
SLE,Sierra Leone,1000,82.92,81.56,89.03
SLV,El Salvador,1001,72.92,92.25,92.4
SRB,Serbia,1000,76.3,88.28,89.89
SVK,Slovakia,1003,67.75,92.21,88.59
SVN,Slovenia,1001,76.1,92.81,90.96
SWE,Sweden,1010,71.76,91.14,84.59
TGO,Togo,1000,79.91,92.26,96.72
THA,Thailand,1006,58.31,91.88,93.22
TJK,Tajikistan,1000,77.98,91.33,95.1
TUN,Tunisia,1000,58.42,62.39,83.49
TUR,Turkey,1000,66.44,82.92,89.03
TWN,Taiwan,1000,62.41,92.9,94.65
TZA,Tanzania,1000,63.73,69.63,81.57
UGA,Uganda,1000,74.58,88.51,93.63
UKR,Ukraine,1000,59.43,83.54,86.02
URY,Uruguay,1000,65.48,89.85,90.12
USA,United States,1005,48.15,78.68,74.03
UZB,Uzbekistan,1000,91.65,95.95,93.04
VEN,Venezuela,1000,84.96,94.04,96.08
VNM,Vietnam,1020,77.07,93.49,96.93
XKX,Kosovo,1000,84.15,89.18,93.23
ZAF,South Africa,1032,54.19,80.57,88.47
ZMB,Zambia,1000,81.4,75.45,86.41
ZWE,Zimbabwe,1000,72.09,55.96,67.46
WLD,World,129902,68.5,86.19,88.57
