label,year,pct_display,pct_value,study,title,journal,detail,url
Oreskes,2004,100,100,Oreskes 2004,Beyond the ivory tower: the scientific consensus on climate change,Science,None of the 928 abstracts sampled from 1993 to 2003 rejected the consensus. 75% endorsed it explicitly or implicitly and the rest took no position.,https://doi.org/10.1126/science.1103618
Doran,2009,97.4,97.4,Doran & Zimmerman 2009,Examining the scientific consensus on climate change,Eos,97.4% of the actively publishing climate scientists surveyed say human activity is a significant contributing factor. Across all 3146 Earth scientists who responded it was 82%.,https://doi.org/10.1029/2009EO030002
Anderegg,2010,97,97,Anderegg et al. 2010,Expert credibility in climate change,PNAS,97 to 98% of the most actively publishing climate researchers support the IPCC's attribution of warming to humans. Drawn here at the low end of that range.,https://doi.org/10.1073/pnas.1003187107
Cook,2013,97.1,97.1,Cook et al. 2013,Quantifying the consensus on anthropogenic global warming in the scientific literature,Environmental Research Letters,Of the 11944 abstracts examined a third stated a position on human-caused warming; 97.1% of those endorsed it.,https://doi.org/10.1088/1748-9326/8/2/024024
Verheggen,2014,90,90,Verheggen et al. 2014,Scientists' views about attribution of global warming,Environmental Science & Technology,90% of the respondents with more than 10 climate publications explicitly agree that greenhouse gases are the dominant driver. Across all who stated a position it was 85%.,https://doi.org/10.1021/es501998e
Stenhouse,2014,93,93,Stenhouse et al. 2014,Meteorologists' views about global warming: a survey of American Meteorological Society professional members,Bulletin of the American Meteorological Society,93% of the American Meteorological Society members publishing mostly on climate are convinced humans have contributed to global warming. Across all members surveyed it was 73%.,https://doi.org/10.1175/BAMS-D-13-00091.1
Carlton,2015,96.7,96.7,Carlton et al. 2015,The climate change consensus extends beyond climate scientists,Environmental Research Letters,96.7% of the surveyed biophysical scientists whose research is mostly on climate agree. Across all 698 respondents it was 91.9%.,https://doi.org/10.1088/1748-9326/10/9/094025
Cook,2016,97,97,Cook et al. 2016,Consensus on consensus: a synthesis of consensus estimates on human-caused global warming,Environmental Research Letters,A synthesis of the seven studies before it. Agreement spans 90 to 100% and converges on 97% among the scientists with the most climate expertise.,https://doi.org/10.1088/1748-9326/11/4/048002
Myers,2021,98.7,98.7,Myers et al. 2021,Consensus revisited: quantifying scientific agreement on climate change and climate expertise among Earth scientists 10 years later,Environmental Research Letters,98.7% of the confirmed climate experts agree. Across all 2548 Earth scientists surveyed in this repeat of Doran & Zimmerman it was 91.1%.,https://doi.org/10.1088/1748-9326/ac2774
Lynas,2021,99.85,99.85,Lynas et al. 2021,Greater than 99% consensus on human caused climate change in the peer-reviewed scientific literature,Environmental Research Letters,Only 4 of the 2718 climate-related papers in a 3000-paper sample from the 88125 published since 2012 were skeptical. The other 99.85% of them were not.,https://doi.org/10.1088/1748-9326/ac2966
