wave,date,n,alarmed,concerned,cautious,disengaged,doubtful,dismissive,no_segment
Nov 2008,2008-11,2497,17,31,16,15,10,9,2
Jan 2010,2010-01,1001,12,26,25,5,14,14,4
Jun 2010,2010-06,1024,12,27,24,10,14,11,2
May 2011,2011-05,1010,11,27,24,12,13,11,4
Nov 2011,2011-11,1000,10,27,27,10,13,9,4
Mar 2012,2012-03,1008,12,26,29,7,13,10,3
Sep 2012,2012-09,1061,16,30,24,8,14,8,0
Apr 2013,2013-04,1045,15,24,26,6,15,12,1
Nov 2013,2013-11,830,14,29,23,4,14,14,1
Apr 2014,2014-04,1384,15,32,23,6,12,11,1
Oct 2014,2014-10,1275,11,34,23,7,13,12,0
Mar 2015,2015-03,1263,11,30,24,8,15,12,0
Oct 2015,2015-10,1330,17,31,24,6,11,10,0
Mar 2016,2016-03,1204,17,30,26,6,11,10,0
Nov 2016,2016-11,1226,18,32,24,5,12,9,0
May 2017,2017-05,1266,18,32,22,5,12,11,0
Oct 2017,2017-10,1304,22,32,24,4,10,8,0
Mar 2018,2018-03,1278,21,31,19,7,13,9,0
Dec 2018,2018-12,1114,29,30,17,5,8,9,0
Apr 2019,2019-04,1291,22,30,20,4,10,12,0
Nov 2019,2019-11,1303,31,26,16,7,10,10,0
Apr 2020,2020-04,1029,26,28,20,7,11,7,0
Dec 2020,2020-12,1036,26,29,19,6,12,8,0
Mar 2021,2021-03,1037,24,31,17,5,11,11,0
Sep 2021,2021-09,1006,33,25,17,5,10,9,0
Apr 2022,2022-04,1018,28,27,18,5,13,9,0
Dec 2022,2022-12,1085,26,27,17,7,11,11,0
Apr 2023,2023-04,1011,27,28,16,5,12,11,0
Oct 2023,2023-10,1033,28,29,15,6,11,11,0
Apr 2024,2024-04,1031,27,28,18,6,11,9,0
Dec 2024,2024-12,1013,26,28,18,5,12,10,0
Nov 2025,2025-11,1146,25,27,17,6,13,11,0
