country,mean,sd,hdi_1.5%,hdi_3%,median,hdi_97%,hdi_98.5%
Turkey,80.201,0.635,78.839,79.014,80.185,81.407,81.573
Brazil,78.445,0.565,77.204,77.35,78.442,79.503,79.643
Chile,78.425,0.469,77.42,77.547,78.429,79.31,79.438
Uganda,78.278,0.893,76.328,76.582,78.272,79.967,80.232
India,77.921,0.647,76.479,76.687,77.926,79.164,79.342
Sri Lanka,77.858,0.767,76.13,76.388,77.849,79.3,79.52
Ghana,77.564,0.744,75.985,76.178,77.554,78.958,79.201
Taiwan,77.336,1.48,74.05,74.497,77.335,80.053,80.405
Ukraine,76.983,0.724,75.392,75.62,76.997,78.318,78.554
Uruguay,76.859,0.763,75.198,75.402,76.867,78.313,78.496
Nigeria,76.617,0.512,75.497,75.653,76.619,77.569,77.714
Venezuela,76.565,1.584,73.061,73.495,76.589,79.495,79.863
Mexico,76.361,0.827,74.582,74.852,76.365,77.92,78.152
Philippines,76.353,1.293,73.538,73.903,76.38,78.786,79.061
Vietnam,76.083,0.932,73.989,74.3,76.096,77.784,78.084
Gambia,75.981,0.793,74.187,74.467,75.989,77.488,77.73
China,75.82,0.649,74.416,74.624,75.808,77.069,77.271
Serbia,75.646,0.934,73.624,73.868,75.656,77.348,77.657
Portugal,75.578,0.809,73.839,74.051,75.566,77.121,77.359
Algeria,75.326,0.759,73.669,73.888,75.319,76.722,76.976
Spain,75.11,0.838,73.305,73.558,75.125,76.663,76.945
Sudan,75.01,0.809,73.256,73.441,75.021,76.491,76.666
Morocco,74.933,0.892,73.007,73.267,74.925,76.637,76.907
Ecuador,74.365,0.76,72.765,72.986,74.358,75.799,75.993
Bulgaria,73.86,0.764,72.147,72.436,73.864,75.284,75.522
Thailand,73.766,0.932,71.752,71.954,73.781,75.476,75.78
Italy,73.757,0.543,72.576,72.763,73.755,74.782,74.927
South Africa,73.328,0.895,71.409,71.653,73.328,75.024,75.341
Ireland,73.256,0.735,71.7,71.859,73.255,74.615,74.779
Kenya,73.196,0.885,71.283,71.53,73.205,74.859,75.06
UK,72.706,0.61,71.391,71.559,72.71,73.877,74.085
South Korea,72.512,0.829,70.713,70.914,72.52,74.064,74.302
Canada,72.018,0.661,70.594,70.774,72.007,73.262,73.445
Singapore,71.941,0.887,70.005,70.292,71.936,73.608,73.864
North Macedonia,71.941,0.652,70.468,70.75,71.963,73.132,73.365
Peru,71.87,0.93,69.824,70.114,71.865,73.592,73.83
Australia,71.744,0.748,70.123,70.312,71.731,73.187,73.399
Romania,71.679,0.983,69.539,69.809,71.701,73.531,73.792
Tanzania,71.283,1.955,66.959,67.596,71.282,74.866,75.397
France,70.641,0.612,69.278,69.475,70.646,71.785,71.944
Netherlands,70.631,0.586,69.356,69.554,70.639,71.729,71.892
UAE,70.519,0.928,68.478,68.759,70.536,72.248,72.512
Greece,70.466,0.803,68.725,68.978,70.471,71.986,72.194
Denmark,70.356,0.84,68.5,68.761,70.359,71.915,72.177
Poland,70.223,0.509,69.155,69.301,70.212,71.199,71.354
Armenia,69.95,0.812,68.195,68.479,69.932,71.495,71.768
Switzerland,69.881,0.725,68.28,68.481,69.878,71.207,71.431
Slovenia,69.713,0.896,67.822,68.03,69.709,71.384,71.599
Czechia,68.975,0.906,66.989,67.269,68.965,70.681,70.886
Israel,68.435,0.591,67.119,67.298,68.437,69.543,69.756
Austria,68.046,0.949,66.023,66.281,68.058,69.777,70.017
USA,67.88,0.431,66.916,67.036,67.887,68.671,68.771
Germany,67.674,0.643,66.299,66.474,67.67,68.908,69.099
Belgium,67.118,0.746,65.512,65.722,67.098,68.528,68.735
New Zealand,67.028,0.767,65.367,65.599,67.027,68.481,68.697
Norway,67.013,0.758,65.327,65.539,67.009,68.436,68.66
Sweden,66.273,0.58,64.976,65.172,66.268,67.352,67.507
Russia,64.992,0.579,63.756,63.92,64.986,66.103,66.259
Finland,64.545,0.994,62.353,62.61,64.544,66.362,66.646
Saudi Arabia,64.444,1.093,62.171,62.508,64.416,66.544,66.834
Slovakia,64.362,0.703,62.865,63.038,64.358,65.689,65.858
Latvia,62.491,0.983,60.326,60.591,62.512,64.358,64.592
Japan,58.939,0.616,57.613,57.798,58.945,60.097,60.275
