country,mean,sd,hdi_1.5%,hdi_3%,median,hdi_97%,hdi_98.5%
Kenya,6.958,0.42,6.048,6.167,6.978,7.678,7.745
Serbia,6.851,0.346,6.188,6.268,6.824,7.55,7.636
Venezuela,6.815,0.485,5.819,5.939,6.796,7.734,7.811
Philippines,6.447,0.459,5.606,5.712,6.393,7.52,7.676
Chile,6.418,0.09,6.222,6.245,6.418,6.583,6.613
Slovakia,6.348,0.108,6.098,6.14,6.349,6.549,6.585
Italy,6.33,0.129,6.062,6.101,6.327,6.582,6.616
China,6.204,0.161,5.878,5.917,6.198,6.525,6.587
UAE,6.126,0.145,5.817,5.853,6.126,6.4,6.435
South Korea,6.126,0.177,5.761,5.808,6.122,6.481,6.55
Thailand,6.085,0.16,5.744,5.789,6.088,6.385,6.438
Poland,6.057,0.098,5.853,5.878,6.057,6.239,6.27
Saudi Arabia,5.959,0.173,5.584,5.635,5.96,6.288,6.344
Norway,5.894,0.121,5.629,5.662,5.895,6.125,6.15
Spain,5.855,0.173,5.486,5.529,5.855,6.184,6.24
Australia,5.807,0.12,5.53,5.576,5.81,6.023,6.054
Nigeria,5.776,0.106,5.545,5.575,5.776,5.972,6.002
Czechia,5.75,0.209,5.329,5.372,5.745,6.167,6.23
Romania,5.674,0.194,5.263,5.322,5.67,6.046,6.1
Mexico,5.659,0.17,5.296,5.343,5.657,5.981,6.03
Turkey,5.607,0.161,5.266,5.312,5.602,5.918,5.965
Brazil,5.591,0.114,5.339,5.375,5.591,5.798,5.832
Uganda,5.576,0.239,5.116,5.164,5.565,6.052,6.154
Latvia,5.47,0.308,4.884,4.948,5.45,6.08,6.183
France,5.449,0.104,5.221,5.25,5.451,5.639,5.668
Portugal,5.446,0.28,4.913,4.979,5.427,6.023,6.137
Ukraine,5.369,0.247,4.878,4.938,5.356,5.874,5.977
Uruguay,5.369,0.172,5.005,5.047,5.368,5.691,5.743
Greece,5.368,0.152,5.041,5.084,5.367,5.649,5.696
Bulgaria,5.365,0.141,5.065,5.102,5.362,5.634,5.68
Switzerland,5.359,0.132,5.067,5.112,5.356,5.615,5.658
Ghana,5.348,0.171,4.976,5.022,5.35,5.679,5.735
New Zealand,5.34,0.129,5.062,5.096,5.341,5.58,5.613
Belgium,5.317,0.123,5.05,5.083,5.316,5.555,5.586
Japan,5.296,0.108,5.059,5.094,5.295,5.5,5.523
Denmark,5.189,0.134,4.897,4.938,5.19,5.442,5.483
Vietnam,5.137,0.222,4.669,4.729,5.131,5.561,5.619
Canada,5.121,0.132,4.832,4.87,5.118,5.372,5.414
Israel,5.102,0.127,4.831,4.867,5.103,5.337,5.376
USA,5.097,0.065,4.953,4.978,5.096,5.22,5.239
South Africa,5.096,0.169,4.726,4.77,5.101,5.411,5.449
Peru,5.083,0.212,4.623,4.691,5.082,5.493,5.557
UK,5.034,0.103,4.813,4.839,5.035,5.225,5.253
Sri Lanka,4.928,0.19,4.519,4.566,4.931,5.282,5.334
Germany,4.919,0.104,4.694,4.725,4.918,5.115,5.139
Russia,4.893,0.119,4.635,4.669,4.892,5.119,5.16
Ecuador,4.887,0.163,4.541,4.585,4.885,5.197,5.24
Algeria,4.772,0.167,4.417,4.456,4.773,5.086,5.134
Tanzania,4.68,0.387,3.862,3.969,4.675,5.421,5.561
Netherlands,4.567,0.107,4.332,4.363,4.565,4.776,4.806
Morocco,4.557,0.178,4.177,4.224,4.558,4.896,4.951
Sweden,4.441,0.093,4.233,4.265,4.442,4.609,4.641
North Macedonia,4.262,0.146,3.961,3.991,4.259,4.539,4.584
Singapore,4.25,0.172,3.875,3.929,4.25,4.567,4.616
Austria,4.204,0.172,3.828,3.88,4.201,4.536,4.575
Gambia,4.179,0.173,3.806,3.852,4.181,4.503,4.562
Sudan,4.128,0.152,3.804,3.843,4.126,4.418,4.462
Slovenia,3.918,0.175,3.536,3.593,3.915,4.251,4.299
Finland,3.843,0.156,3.507,3.545,3.844,4.133,4.177
Armenia,3.792,0.176,3.419,3.466,3.79,4.13,4.174
Ireland,3.246,0.145,2.932,2.979,3.24,3.526,3.561
India,2.921,0.143,2.631,2.667,2.918,3.199,3.233
Taiwan,1.469,0.184,1.107,1.153,1.459,1.836,1.908
